Unnamed: 0,region,tenure,age,income,marital,address,ed,employ,retire,gender,reside,custcat,0
65,3,36,47,63,False,16,1,23,0,0,2,1,False
66,3,28,51,40,False,22,3,10,0,1,6,3,False
67,1,72,67,51,False,44,1,34,1,0,2,3,False
68,1,16,27,37,False,5,3,5,0,0,4,1,False
69,3,3,43,61,False,19,4,11,0,1,1,1,False
70,1,40,57,22,False,15,2,9,0,0,2,1,False
71,3,16,39,44,False,6,4,3,0,1,1,2,False
72,1,20,42,17,False,4,3,5,0,0,1,1,False
73,2,48,43,110,False,13,5,15,0,1,3,2,False
74,2,64,48,91,False,13,2,24,0,0,2,3,False
75,1,8,46,46,False,3,2,8,0,0,1,1,False
76,1,40,38,85,False,10,3,12,0,0,2,3,False
77,2,38,71,10,False,27,2,12,1,0,1,1,False
78,1,67,68,244,False,28,1,47,0,1,1,3,False
79,1,26,42,80,False,0,4,15,0,1,1,4,False
80,3,41,34,83,False,15,5,1,0,1,2,4,False
81,2,2,31,21,False,2,1,6,0,0,1,1,False
82,3,20,48,24,False,29,2,3,0,0,2,4,False
83,2,31,53,351,False,2,3,31,0,1,1,3,False
84,2,45,52,169,False,4,4,29,0,1,4,2,False
85,2,33,27,46,False,7,2,7,0,0,4,1,False
86,1,10,26,34,False,6,3,3,0,0,1,2,False
87,2,62,54,50,False,2,4,3,0,0,2,4,False
88,2,4,35,161,False,16,5,6,0,1,1,4,False
89,1,42,47,212,False,17,4,17,0,0,2,3,False
90,3,27,51,80,False,3,5,11,0,0,3,2,False
91,2,38,42,30,False,1,4,7,0,1,1,1,False
92,3,52,61,53,False,3,5,1,0,1,2,2,False
93,3,35,33,73,False,9,5,4,0,1,1,4,False
94,3,3,20,17,False,1,2,0,0,1,4,1,False
95,2,17,33,23,False,9,5,3,0,0,1,4,False
96,1,55,53,34,False,21,1,8,0,0,2,3,False
97,3,43,36,107,False,5,1,19,0,1,3,2,False
98,2,47,25,21,False,5,1,1,0,1,2,3,False
99,3,65,58,83,False,30,2,16,0,1,1,2,False
100,1,13,20,17,False,1,3,0,0,0,5,4,False
101,3,64,25,76,False,4,3,2,0,1,6,3,False
102,2,12,24,19,False,2,1,0,0,0,1,3,False
103,1,29,32,49,False,0,4,3,0,1,3,2,False
104,2,23,47,173,False,21,3,22,0,1,1,2,False
105,2,14,35,47,False,4,3,10,0,1,1,2,False
106,1,35,61,41,False,23,2,11,0,0,1,1,False
107,3,26,39,105,False,8,3,13,0,1,1,4,False
108,1,13,54,31,False,2,4,2,0,0,1,1,False
109,2,69,40,41,False,13,2,17,0,0,3,2,False
110,3,61,50,102,False,30,4,9,0,1,3,2,False
111,2,45,22,36,False,2,4,0,0,1,5,2,False
112,2,3,37,24,False,13,1,3,0,1,1,1,False
113,2,53,22,25,False,1,4,0,0,0,2,2,False
114,1,59,42,68,False,1,2,21,0,1,1,3,False
115,1,13,34,20,False,11,3,0,0,1,1,1,False
116,3,31,31,48,False,4,1,15,0,0,1,3,False
117,1,40,29,40,False,6,2,8,0,1,5,3,False
118,1,48,55,79,False,15,1,25,0,0,1,3,False
119,3,3,31,28,False,1,1,0,0,0,1,1,False
120,2,51,48,64,False,12,2,22,0,1,1,1,False
121,3,33,41,37,False,15,2,11,0,0,1,1,False
122,3,14,47,48,False,7,1,13,0,0,2,1,False
123,1,17,42,131,False,6,5,6,0,0,3,2,False
124,3,19,29,18,False,9,2,2,0,0,3,1,False
125,2,58,36,38,False,10,2,14,0,1,1,2,False
126,3,22,23,37,False,3,2,4,0,1,3,4,False
127,2,29,31,60,False,1,4,6,0,0,5,2,False
128,3,14,22,13,False,2,3,0,0,1,4,2,False
129,2,70,64,98,False,18,1,31,0,1,2,4,False
130,1,62,52,195,False,2,1,23,0,0,2,3,False
131,2,7,35,47,False,0,1,14,0,0,5,1,False
132,1,56,47,65,False,19,2,22,0,0,3,4,False
133,1,50,50,150,False,22,5,5,0,1,4,2,False
134,2,57,39,106,False,6,5,8,0,0,1,3,False
135,3,2,40,51,False,19,4,14,0,1,1,1,False
136,2,40,38,96,False,17,4,0,0,1,1,1,False
137,2,6,43,33,False,4,5,7,0,0,2,3,False
138,3,23,25,38,False,6,2,1,0,1,3,3,False
139,3,11,32,125,False,6,4,5,0,0,1,4,False
140,1,29,37,145,False,13,5,0,0,1,4,4,False
141,1,42,44,99,False,2,2,21,0,0,3,3,False
142,1,20,34,22,False,2,4,0,0,1,3,4,False
143,2,72,60,31,False,21,1,38,1,0,2,2,False
144,1,2,36,25,False,3,1,6,0,1,1,3,False
145,3,46,25,57,False,5,5,0,0,1,2,1,False
146,2,39,51,41,False,21,5,20,0,0,6,4,False
147,3,24,25,20,False,1,3,1,0,1,2,2,False
148,3,59,43,101,False,4,2,22,0,1,5,2,False
149,1,65,37,56,False,8,2,15,0,0,1,2,False
150,2,50,27,22,False,5,2,5,0,1,3,1,False
151,1,57,37,108,False,11,4,9,0,1,1,3,False
152,3,61,48,115,False,14,4,20,0,1,1,4,False
153,3,34,54,53,False,31,4,22,0,0,1,4,False
154,3,38,53,242,False,13,4,12,0,0,1,4,False
155,1,3,24,20,False,2,2,3,0,1,5,3,False
156,2,4,47,123,False,5,4,11,0,0,1,1,False
157,2,15,35,34,False,0,1,12,0,0,1,1,False
158,1,25,29,31,False,8,4,3,0,1,5,2,False
159,3,21,44,47,False,25,1,12,0,1,2,3,False
160,3,50,37,48,False,11,3,8,0,1,2,3,False
161,2,65,64,13,False,22,2,5,1,1,3,3,False
162,2,59,52,78,False,18,1,25,0,0,2,1,False
163,3,29,26,34,False,7,1,7,0,1,2,3,False
164,1,60,46,81,False,17,5,9,0,1,1,2,False
165,1,71,45,86,False,14,2,25,0,0,2,2,False
166,3,38,27,26,False,0,4,2,0,0,4,4,False
167,3,16,34,51,False,5,2,8,0,1,5,1,False
168,3,7,31,59,False,10,3,10,0,0,1,1,False
169,1,59,53,112,False,21,4,16,0,0,1,2,False
170,2,22,56,57,False,14,4,28,0,0,2,4,False
171,1,18,48,41,False,20,1,2,0,1,2,1,False
172,2,64,46,168,False,19,2,26,0,1,2,4,False
173,2,7,33,29,False,4,4,4,0,1,3,1,False
174,3,65,58,167,False,13,2,14,0,1,2,2,False
175,3,7,24,29,False,5,2,3,0,0,3,1,False
176,1,64,55,104,False,28,1,26,0,1,1,3,False
177,3,42,22,46,False,0,4,0,0,0,2,4,False
178,3,33,26,46,False,5,4,1,0,1,3,4,False
179,1,3,33,51,False,8,4,0,0,1,1,1,False
180,2,69,42,65,False,11,2,18,0,0,2,4,False
181,2,9,33,48,False,1,2,13,0,0,2,1,False
182,3,22,34,46,False,1,3,1,0,0,4,2,False
183,2,53,63,43,False,15,2,18,0,0,2,2,False
184,3,71,53,110,False,30,1,34,0,0,1,2,False
185,3,24,26,32,False,2,3,2,0,0,3,1,False
186,3,12,22,18,False,1,3,0,0,1,2,1,False
187,1,25,39,26,False,1,4,0,0,0,4,2,False
188,3,63,28,34,False,9,2,10,0,1,6,3,False
189,1,33,54,57,False,18,4,4,0,1,3,3,False
190,2,57,54,21,False,20,2,0,0,1,3,1,False
191,3,13,33,38,False,7,3,10,0,1,1,4,False
192,1,13,21,19,False,2,3,0,0,1,1,2,False
193,1,71,39,40,False,2,3,17,0,0,1,3,False
194,3,18,69,58,False,11,3,8,0,0,2,4,False
195,1,17,51,95,False,10,2,15,0,1,2,1,False
196,2,22,43,114,False,4,2,19,0,0,1,1,False
197,2,65,65,128,False,27,3,24,0,0,2,3,False
198,3,7,40,33,False,9,4,2,0,1,1,1,False
199,3,72,66,460,False,30,4,41,0,1,1,4,False
200,1,35,43,224,False,12,3,17,0,0,1,1,False
201,1,24,39,122,False,2,4,12,0,0,3,4,False
202,1,64,24,23,False,0,3,1,0,1,5,2,False
203,2,63,63,191,False,19,3,27,0,0,2,2,False
204,1,38,31,187,False,7,4,6,0,0,3,4,False
205,2,29,37,119,False,9,3,12,0,0,3,1,False
206,1,72,69,44,False,49,2,44,1,1,2,3,False
207,1,10,27,15,False,2,3,2,0,1,2,4,False
208,3,72,64,674,False,41,4,37,0,1,1,3,False
209,3,52,23,33,False,4,4,0,0,1,2,3,False
210,3,13,55,250,False,3,2,35,0,1,2,1,False
211,1,3,33,64,False,6,4,0,0,0,2,1,False
212,3,39,24,26,False,2,2,4,0,0,4,1,False
213,2,28,29,23,False,4,3,5,0,0,2,2,False
214,2,46,42,52,False,9,4,7,0,0,3,2,False
215,2,62,46,200,False,27,3,9,0,1,1,1,False
216,2,23,33,28,False,7,1,4,0,0,2,3,False
217,3,23,25,19,False,5,5,0,0,0,3,4,False
218,2,72,61,76,False,39,3,21,0,0,2,4,False
219,3,56,60,70,False,26,2,20,0,0,1,1,False
220,1,8,30,34,False,1,2,9,0,1,1,3,False
221,3,3,36,34,False,7,5,3,0,1,3,4,False
222,3,37,37,172,False,7,3,13,0,0,1,1,False
223,3,37,53,48,False,13,1,10,0,0,3,3,False
224,2,6,30,45,False,9,2,2,0,1,1,1,False
225,1,48,47,72,False,9,3,13,0,0,5,4,False
226,2,43,43,55,False,3,4,18,0,1,4,4,False
227,2,21,29,40,False,7,4,2,0,1,4,1,False
228,3,6,33,26,False,12,3,0,0,0,1,3,False
229,2,69,51,96,False,18,1,33,0,0,4,3,False
230,1,22,33,54,False,9,1,10,0,0,1,3,False
231,1,28,40,47,False,1,2,9,0,1,3,3,False
232,1,71,47,142,False,23,1,30,0,0,2,2,False
233,2,7,37,57,False,5,4,1,0,0,1,1,False
234,1,63,29,20,False,10,3,7,0,0,2,4,False
235,2,53,57,37,False,25,1,7,0,0,1,2,False
236,2,50,52,36,False,17,4,16,0,0,4,4,False
237,2,39,31,24,False,6,4,2,0,0,2,4,False
238,3,16,19,21,False,0,2,0,0,1,1,1,False
239,3,43,51,186,False,15,3,25,0,0,2,4,False
240,3,44,31,30,False,12,1,7,0,1,3,1,False
241,2,72,66,96,False,43,2,16,0,1,2,4,False
242,3,61,76,15,False,39,1,29,1,0,1,3,False
243,3,43,21,25,False,1,1,4,0,0,4,2,False
244,3,24,39,49,False,11,3,7,0,1,1,1,False
245,3,64,45,38,False,4,2,7,0,1,1,3,False
246,2,64,38,29,False,0,2,2,0,0,2,2,False
247,1,24,26,55,False,7,2,7,0,1,1,1,False
248,3,33,55,64,False,21,3,10,0,1,3,1,False
249,2,33,33,42,False,12,4,7,0,1,5,2,False
250,1,2,40,134,False,9,4,2,0,0,1,1,False
251,2,42,48,82,False,22,1,21,0,1,5,4,False
252,1,52,54,153,False,5,5,10,0,0,2,2,False
253,1,45,66,144,False,43,2,13,0,1,1,2,False
254,3,3,25,22,False,4,4,0,0,0,2,4,False
255,2,37,53,35,False,16,1,16,0,1,4,3,False
256,2,28,57,82,False,33,4,22,0,1,1,2,False
257,3,40,63,61,False,9,1,22,0,0,2,1,False
258,2,37,33,102,False,1,2,12,0,0,1,4,False
259,3,7,27,31,False,5,3,4,0,0,5,4,False
260,1,71,56,170,False,23,1,30,0,1,1,4,False
261,2,19,46,26,False,11,2,0,0,1,1,1,False
262,2,61,40,85,False,15,3,15,0,1,1,3,False
263,3,70,53,183,False,16,2,35,0,1,2,2,False
264,2,60,55,67,False,13,1,18,0,1,2,1,False
265,3,48,45,42,False,5,1,11,0,1,2,1,False
266,1,8,63,31,False,1,1,9,0,0,2,3,False
267,2,58,58,96,False,10,2,17,0,0,4,3,False
268,1,16,24,24,False,5,3,2,0,0,5,3,False
269,2,33,33,53,False,4,2,14,0,1,1,1,False
270,2,39,25,18,False,4,1,0,0,1,1,3,False
271,1,62,51,43,False,10,4,19,0,0,2,2,False
272,1,50,34,104,False,10,3,9,0,0,1,4,False
273,2,48,55,26,False,31,1,1,0,0,1,1,False
274,3,31,62,56,False,5,2,26,0,1,1,3,False
275,2,65,33,49,False,9,2,6,0,0,5,2,False
276,1,36,58,80,False,34,1,21,0,1,1,2,False
277,1,61,46,318,False,5,3,18,0,1,1,3,False
278,2,48,42,35,False,21,4,5,0,0,1,3,False
279,3,35,45,29,False,17,1,6,0,0,1,1,False
280,1,51,28,43,False,8,5,1,0,0,5,4,False
281,2,49,51,80,False,5,5,3,0,0,2,4,False
282,1,35,39,30,False,11,3,2,0,1,3,3,False
283,1,58,70,9,False,2,3,24,1,1,1,2,False
284,1,23,35,23,False,0,2,1,0,0,5,3,False
285,2,26,39,58,False,15,4,9,0,1,2,3,False
286,1,38,37,52,False,1,1,20,0,1,4,4,False
287,1,35,66,14,False,44,3,12,1,1,2,3,False
288,2,37,50,110,False,9,2,21,0,1,1,3,False
289,2,48,43,60,False,1,2,12,0,0,2,2,False
290,3,13,43,123,False,1,3,21,0,0,5,4,False
291,1,72,63,15,False,29,5,31,1,0,2,3,False
292,1,30,27,47,False,4,4,2,0,1,2,2,False
293,1,24,43,138,False,14,4,11,0,1,1,3,False
294,2,25,51,359,False,20,3,29,0,0,2,4,False
295,2,50,52,214,False,30,3,22,0,0,1,4,False
296,2,28,40,64,False,7,1,19,0,0,1,3,False
297,3,34,51,50,False,8,4,14,0,0,1,1,False
298,1,48,32,88,False,2,3,9,0,0,1,4,False
299,2,42,36,86,False,8,2,15,0,1,2,2,False
300,3,67,65,17,False,30,1,29,1,1,2,3,False
301,1,17,41,25,False,7,2,17,0,0,3,3,False
302,1,29,38,46,False,19,2,6,0,0,2,2,False
303,3,66,61,361,False,26,1,40,0,1,1,2,False
304,2,1,21,18,False,1,3,0,0,1,1,1,False
305,1,28,33,14,False,3,4,1,0,0,3,4,False
306,1,15,35,34,False,5,3,8,0,0,2,2,False
307,2,12,64,9,False,13,2,6,1,1,1,3,False
308,3,48,49,39,False,18,2,5,0,1,1,4,False
309,2,59,25,18,False,4,3,2,0,0,4,1,False
310,3,8,26,25,False,1,4,1,0,0,2,1,False
311,1,45,52,46,False,15,5,8,0,1,1,2,False
312,1,25,39,94,False,8,4,11,0,1,4,2,False
313,1,21,44,26,False,4,3,2,0,0,2,4,False
314,2,17,68,335,False,1,1,35,0,1,3,4,False
315,2,41,45,25,False,14,3,6,0,0,1,1,False
316,1,13,45,99,False,3,3,8,0,1,2,3,False
317,2,1,26,30,False,3,2,7,0,1,5,1,False
318,3,3,31,35,False,4,2,2,0,1,3,4,False
319,1,23,27,51,False,2,5,1,0,1,2,1,False
320,3,26,42,49,False,20,3,13,0,0,1,4,False
321,1,37,51,54,False,15,1,15,0,0,3,3,False
322,3,5,30,46,False,3,4,7,0,0,1,2,False
323,1,32,27,91,False,3,4,1,0,1,3,4,False
324,3,12,22,23,False,1,4,0,0,0,2,1,False
325,1,72,54,345,False,6,1,32,0,0,2,3,False
326,3,3,25,45,False,2,4,0,0,1,2,1,False
327,1,54,43,53,False,12,2,12,0,0,1,3,False
328,2,26,26,14,False,2,2,6,0,1,1,4,False
329,3,14,36,67,False,13,5,4,0,1,1,1,False
330,3,22,51,49,False,27,3,1,0,0,1,1,False
331,3,65,47,37,False,18,1,15,0,1,4,1,False
332,3,26,45,33,False,18,1,9,0,0,1,1,False
333,1,20,37,46,False,5,3,10,0,1,4,4,False
334,2,67,60,93,False,32,1,21,0,0,4,2,False
335,1,34,55,48,False,2,2,11,0,0,1,1,False
336,1,37,54,183,False,35,2,22,0,0,3,3,False
337,2,22,23,16,False,3,1,5,0,0,4,1,False
338,2,5,69,11,False,0,2,14,1,0,1,1,False
339,1,28,31,42,False,0,4,5,0,1,3,3,False
340,1,20,41,67,False,7,4,14,0,1,4,1,False
341,3,72,41,181,False,20,4,12,0,0,1,4,False
342,2,30,43,53,False,18,4,6,0,0,1,1,False
343,3,71,52,172,False,17,2,32,0,0,1,4,False
344,2,56,44,87,False,24,2,19,0,0,1,3,False
345,1,8,29,21,False,2,5,0,0,0,2,1,False
346,2,32,65,9,False,6,2,30,1,1,1,2,False
347,2,46,47,144,False,22,3,22,0,1,2,3,False
348,3,60,45,117,False,23,4,11,0,0,3,4,False
349,2,42,32,59,False,0,4,4,0,1,6,4,False
350,3,71,60,508,False,39,4,35,0,0,4,4,False
351,2,72,63,222,False,40,2,43,1,1,2,3,False
352,3,45,66,87,False,11,3,25,1,1,1,1,False
353,3,5,31,34,False,4,1,9,0,0,1,3,False
354,2,17,38,18,False,19,4,0,0,1,4,2,False
355,2,70,55,65,False,12,3,24,0,0,1,3,False
356,3,57,57,130,False,19,3,27,0,1,2,2,False
357,1,20,33,44,False,13,3,8,0,1,1,2,False
358,1,72,52,63,False,21,1,24,0,0,3,3,False
359,3,32,50,57,False,28,4,20,0,0,1,3,False
360,3,22,57,264,False,7,1,35,0,1,2,3,False
361,2,6,24,28,False,2,1,5,0,0,2,3,False
362,3,32,23,26,False,2,3,1,0,1,6,4,False
363,1,38,33,38,False,3,4,0,0,0,1,2,False
364,1,53,35,59,False,15,3,5,0,1,1,3,False
365,3,37,76,117,False,38,4,21,0,1,1,1,False
366,1,47,35,70,False,13,4,9,0,1,2,4,False
367,3,69,59,104,False,37,2,13,0,0,1,3,False
368,3,63,56,71,False,17,3,18,0,1,1,1,False
369,1,61,34,70,False,0,3,7,0,1,3,4,False
370,1,56,38,56,False,8,4,10,0,0,2,4,False
371,3,40,57,68,False,18,1,23,0,0,2,3,False
372,2,61,45,80,False,21,2,13,0,1,1,2,False
373,2,16,26,21,False,7,4,1,0,0,6,4,False
374,2,7,43,69,False,4,3,5,0,1,1,1,False
375,3,20,31,39,False,10,2,3,0,1,2,1,False
376,2,35,38,90,False,7,2,18,0,0,4,2,False
377,1,60,37,64,False,12,5,1,0,1,2,2,False
378,2,47,25,28,False,2,2,6,0,0,1,4,False
379,2,33,28,24,False,3,2,0,0,1,6,1,False
380,3,12,34,44,False,2,2,7,0,0,1,1,False
381,1,10,31,32,False,0,4,7,0,1,2,2,False
382,2,69,33,52,False,9,4,9,0,1,3,3,False
383,1,23,20,15,False,1,3,0,0,1,1,2,False
384,1,53,31,46,False,10,3,6,0,0,2,2,False
385,2,60,57,107,False,14,2,33,0,1,2,3,False
386,2,33,33,56,False,7,2,11,0,0,1,1,False
387,3,67,40,40,False,21,4,7,0,1,4,4,False
388,3,15,38,56,False,5,3,13,0,0,3,3,False
389,3,64,31,46,False,5,2,7,0,1,4,2,False
390,2,46,49,51,False,13,2,21,0,0,2,1,False
391,2,72,60,12,False,33,1,20,1,0,3,4,False
392,1,61,43,34,False,6,5,6,0,0,3,4,False
393,3,54,27,27,False,3,2,6,0,1,5,4,False
394,3,28,36,42,False,3,3,7,0,1,1,3,False
395,2,28,38,119,False,8,5,2,0,0,3,4,False
396,2,32,43,146,False,13,1,27,0,1,1,3,False
397,2,52,46,51,False,17,2,13,0,1,3,2,False
398,1,48,62,86,False,33,1,22,1,1,1,3,False
399,3,52,42,27,False,17,3,8,0,1,2,3,False
400,1,37,43,38,False,8,3,9,0,0,1,2,False
401,1,41,52,928,False,26,3,29,0,0,3,3,False
402,2,43,27,21,False,3,2,1,0,1,3,2,False
403,3,67,60,24,False,24,1,6,0,1,1,3,False
404,3,61,52,91,False,30,1,25,0,1,2,1,False
405,3,70,39,38,False,20,2,8,0,1,4,3,False
406,3,44,32,96,False,1,4,5,0,1,4,4,False
407,3,46,45,96,False,12,3,17,0,0,1,2,False
408,3,39,34,54,False,2,3,5,0,0,1,1,False
409,2,39,59,1668,False,20,4,27,0,1,1,2,False
410,2,50,29,53,False,10,4,0,0,1,4,4,False
411,3,5,31,21,False,1,3,1,0,1,2,1,False
412,2,10,34,52,False,1,5,3,0,1,1,2,False
413,1,72,69,17,False,45,3,36,1,1,1,2,False
414,2,68,60,262,False,40,2,39,0,1,1,3,False
415,3,58,28,34,False,5,5,1,0,1,1,2,False
416,3,18,44,107,False,10,1,19,0,1,7,1,False
417,1,65,45,67,False,25,5,13,0,1,2,3,False
418,3,8,45,37,False,1,4,0,0,0,1,2,False
419,2,1,20,21,False,1,2,0,0,1,2,1,False
420,3,42,58,22,False,7,1,4,0,1,1,2,False
421,1,4,25,71,False,3,3,3,0,1,5,1,False
422,3,17,35,77,False,4,3,8,0,1,1,3,False
423,2,8,24,18,False,1,4,0,0,1,5,4,False
424,1,49,37,50,False,17,2,12,0,1,2,2,False
425,1,56,46,33,False,21,4,7,0,0,2,2,False
426,1,62,57,94,False,21,1,22,0,0,2,4,False
427,2,42,57,209,False,25,1,40,0,1,4,1,False
428,1,13,32,31,False,7,4,5,0,0,2,3,False
429,1,69,46,66,False,18,2,19,0,0,4,2,False
430,2,45,59,51,False,14,1,15,0,0,2,1,False
431,2,66,42,118,False,18,2,20,0,0,2,2,False
432,2,15,35,25,False,10,2,3,0,0,1,1,False
433,1,41,44,59,False,1,3,21,0,1,3,2,False
434,2,11,20,20,False,1,2,0,0,1,1,4,False
435,3,45,30,63,False,0,5,4,0,0,4,4,False
436,1,52,62,36,False,23,4,17,0,0,1,1,False
437,1,42,56,72,False,24,4,18,0,1,1,4,False
438,2,48,35,50,False,11,1,16,0,0,3,3,False
439,3,4,31,39,False,5,2,5,0,0,2,4,False
440,3,53,64,54,False,10,2,20,0,1,2,4,False
441,3,1,59,9,False,4,1,4,1,0,1,3,False
442,3,19,30,33,False,10,4,1,0,0,3,4,False
443,2,33,30,28,False,11,1,9,0,0,1,1,False
444,3,42,36,44,False,14,2,11,0,0,3,3,False
445,1,60,32,34,False,12,4,4,0,1,2,2,False
446,2,57,51,68,False,7,4,18,0,1,3,3,False
447,1,64,39,37,False,5,1,9,0,0,1,1,False
448,2,28,20,18,False,1,3,0,0,0,3,4,False
449,1,29,35,55,False,10,2,7,0,0,4,3,False
450,1,46,31,21,False,12,1,5,0,0,5,3,False
451,1,22,41,29,False,9,3,11,0,0,4,1,False
452,2,10,56,9,False,26,2,6,1,0,2,1,False
453,3,50,41,138,False,16,2,18,0,1,1,2,False
454,1,55,65,28,False,34,4,12,1,1,1,4,False
455,2,15,54,62,False,7,1,11,0,0,1,1,False
456,1,31,32,37,False,13,3,8,0,1,3,4,False
457,3,5,44,83,False,5,1,16,0,1,1,2,False
458,2,69,63,168,False,28,1,43,0,1,2,3,False
459,2,26,27,33,False,4,4,1,0,0,6,4,False
460,3,10,33,66,False,2,3,9,0,1,4,1,False
461,1,26,30,18,False,9,4,1,0,0,3,4,False
462,3,25,30,20,False,0,1,4,0,1,1,3,False
463,3,30,23,19,False,4,3,1,0,0,4,2,False
464,1,21,39,25,False,7,2,1,0,0,4,3,False
465,1,71,46,119,False,27,5,7,0,1,1,4,False
466,3,11,48,323,False,5,4,25,0,0,4,3,False
467,1,24,30,45,False,7,1,11,0,1,2,1,False
468,1,65,59,197,False,27,4,26,0,0,2,2,False
469,1,16,34,56,False,13,3,10,0,1,3,1,False
470,3,37,51,24,False,26,4,4,0,0,2,2,False
471,1,5,30,25,False,4,3,6,0,0,1,3,False
472,1,3,55,26,False,9,5,0,0,1,2,2,False
473,1,5,32,33,False,6,4,3,0,0,2,1,False
474,1,60,44,150,False,4,2,24,0,0,2,4,False
475,2,19,37,99,False,4,2,15,0,1,3,2,False
476,3,54,40,50,False,19,4,12,0,1,2,4,False
477,2,25,41,81,False,3,3,20,0,1,4,3,False
478,2,1,36,21,False,6,1,1,0,0,2,2,False
479,3,54,68,273,False,7,3,27,0,1,1,1,False
480,1,14,31,39,False,9,3,4,0,1,7,1,False
481,3,14,28,17,False,7,2,3,0,0,4,1,False
482,2,10,45,115,False,8,3,17,0,1,4,2,False
483,1,7,23,27,False,3,2,1,0,1,3,1,False
484,2,33,45,35,False,24,1,6,0,0,1,3,False
485,1,3,23,20,False,2,2,4,0,0,1,1,False
486,2,56,58,92,False,3,1,25,0,0,3,1,False
487,2,54,56,207,False,8,2,35,0,1,1,3,False
488,1,72,55,40,False,28,1,11,0,0,5,2,False
489,1,18,29,40,False,4,2,1,0,0,1,3,False
490,3,25,29,55,False,9,4,1,0,0,1,1,False
491,1,42,62,26,False,26,1,35,1,1,1,1,False
492,3,4,37,41,False,2,2,8,0,0,1,1,False
493,2,12,50,203,False,16,4,25,0,0,2,1,False
494,2,53,64,380,False,17,2,36,0,1,2,3,False
495,2,13,38,104,False,8,4,6,0,0,7,4,False
